context,question,answer,domain,question_id
"Artificial Intelligence (AI) is the simulation of human intelligence in machines that are programmed to think and learn like humans. The term may also be applied to any machine that exhibits traits associated with a human mind such as learning and problem-solving. Machine learning is a subset of AI that enables machines to learn from data without being explicitly programmed.","What is Artificial Intelligence?","the simulation of human intelligence in machines that are programmed to think and learn like humans","Science and Technology",1
"Artificial Intelligence (AI) is the simulation of human intelligence in machines that are programmed to think and learn like humans. The term may also be applied to any machine that exhibits traits associated with a human mind such as learning and problem-solving. Machine learning is a subset of AI that enables machines to learn from data without being explicitly programmed.","What is machine learning?","a subset of AI that enables machines to learn from data without being explicitly programmed","Science and Technology",2
"The Internet of Things (IoT) refers to the network of physical objects embedded with sensors, software, and other technologies for the purpose of connecting and exchanging data with other devices and systems over the internet. These devices range from ordinary household objects to sophisticated industrial tools.","What does IoT stand for?","Internet of Things","Science and Technology",3
"The Internet of Things (IoT) refers to the network of physical objects embedded with sensors, software, and other technologies for the purpose of connecting and exchanging data with other devices and systems over the internet. These devices range from ordinary household objects to sophisticated industrial tools.","What is the purpose of IoT devices?","connecting and exchanging data with other devices and systems over the internet","Science and Technology",4
"The Renaissance was a period in European history marking the transition from the Middle Ages to Modernity and covering the 15th and 16th centuries. It occurred after the Crisis of the Late Middle Ages and was associated with great social change. The intellectual basis of the Renaissance was its version of humanism, derived from the concept of Roman humanitas.","When did the Renaissance occur?","the 15th and 16th centuries","History",5
"The Renaissance was a period in European history marking the transition from the Middle Ages to Modernity and covering the 15th and 16th centuries. It occurred after the Crisis of the Late Middle Ages and was associated with great social change. The intellectual basis of the Renaissance was its version of humanism, derived from the concept of Roman humanitas.","What was the intellectual basis of the Renaissance?","its version of humanism, derived from the concept of Roman humanitas","History",6
"Shakespeare's works have been translated into every major living language and are performed more often than those of any other playwright. His plays remain highly popular and are constantly studied, performed, and reinterpreted in diverse cultural and political contexts throughout the world.","How often are Shakespeare's plays performed?","more often than those of any other playwright","Literature",7
"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower. Constructed from 1887 to 1889 as the entrance to the 1889 World's Fair, it was initially criticized by some of France's leading artists and intellectuals for its design.","Where is the Eiffel Tower located?","Champ de Mars in Paris, France","General Knowledge",8
"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower. Constructed from 1887 to 1889 as the entrance to the 1889 World's Fair, it was initially criticized by some of France's leading artists and intellectuals for its design.","Who designed the Eiffel Tower?","Gustave Eiffel","General Knowledge",9
"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower. Constructed from 1887 to 1889 as the entrance to the 1889 World's Fair, it was initially criticized by some of France's leading artists and intellectuals for its design.","When was the Eiffel Tower constructed?","1887 to 1889","General Knowledge",10

